id_ev;sesgo;sexo;tamano;comentario_ex;comentario
57_8;0;0;3;Masculino. plazo limitado para las entregas y nula retroalimentacion que pueda ayudar a la asignatura;plazo limitado para las entregas y nula retroalimentacion que pueda ayudar a la asignatura
76_3;0;0;3;Masculino. mas enfasis en explicar el por que se hace cada paso o procedimiento pues es una materia confusa;mas enfasis en explicar el por que se hace cada paso o procedimiento pues es una materia confusa
88_7;0;0;3;Masculino. docente demuestra tener dominio y manejo de actividades ense̱adas;docente demuestra tener dominio y manejo de actividades ense̱adas
109_4;0;0;3;Masculino. entregar la rubrica antes de la evaluacion y tener las notas a tiempo;entregar la rubrica antes de la evaluacion y tener las notas a tiempo
106_3;0;0;3;Masculino. deberia ir un poco mas lento con la materia y priorizar el entendimiento de esta durante su clase;deberia ir un poco mas lento con la materia y priorizar el entendimiento de esta durante su clase
122_3;0;0;3;Masculino. buena metodo a la hora de enfrentarse al contenido. con una parte teorica y otra practica a traves de un proyecto que nos permite desarrollar y proponer sistemas constructivos capaces de responder a las necesidades constructivas de una vivienda;buena metodo a la hora de enfrentarse al contenido. con una parte teorica y otra practica a traves de un proyecto que nos permite desarrollar y proponer sistemas constructivos capaces de responder a las necesidades constructivas de una vivienda
67_4;0;0;3;Masculino. que sus preguntas sean de acuerdo a lo aprendido o de material entregado;que sus preguntas sean de acuerdo a lo aprendido o de material entregado
119_7;0;0;3;Masculino. profesor preocupado de hacer entender esta compleja materia al curso;profesor preocupado de hacer entender esta compleja materia al curso
27_3;0;0;3;Masculino. lo unico que recomendaria al profesor es que si pudiese entregar los certamenes a tiempo;lo unico que recomendaria al profesor es que si pudiese entregar los certamenes a tiempo
91_4;0;0;3;Masculino. que las evaluaciones a medida que van entregando las notas las vallan subiendo a la plataforma estudiantil por algo la crearon .suben todas las notas al final del semestre;que las evaluaciones a medida que van entregando las notas las vallan subiendo a la plataforma estudiantil por algo la crearon .suben todas las notas al final del semestre
75_8;0;0;3;Masculino. tiende a llevar la clase a donde el estima que es correspondiente y el contenido tiende a postergarlo;tiende a llevar la clase a donde el estima que es correspondiente y el contenido tiende a postergarlo
17_4;0;0;3;Masculino. buena disposicion y entrega los conocimientos requeridos cuando se le consulta;buena disposicion y entrega los conocimientos requeridos cuando se le consulta
4_8;0;0;3;Masculino. profesor no entrega notas del primer certamen aun despues de salir de vocaciones;profesor no entrega notas del primer certamen aun despues de salir de vocaciones
101_4;0;0;3;Masculino. falta una mayor claridad y un trabajo mas metodico en la sala de clases;falta una mayor claridad y un trabajo mas metodico en la sala de clases
55_3;0;0;3;Masculino. explica los contenidos de la asignatura de una forma poco detallada;explica los contenidos de la asignatura de una forma poco detallada
139_7;0;0;3;Masculino. excelente profesor dispuesto a entregar todo el conocimiento que se requiere en el ramo;excelente profesor dispuesto a entregar todo el conocimiento que se requiere en el ramo
144_8;0;0;3;Masculino. explica la materia de manera clara y con ejemplos adecuados. buen profesor;explica la materia de manera clara y con ejemplos adecuados. buen profesor
71_7;0;0;3;Masculino. muy mala metodologia de evaluacion para la cantidad de material a evaluar;muy mala metodologia de evaluacion para la cantidad de material a evaluar
